taxa	Crude Oil	PD5	PD6	PF7	FLU	HEX	OIL	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W
Mortierellales	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Others_b	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypocreales	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetales	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteria order iii1-15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobiales	6	0	0	0	6213	1214	4026	936	201	372	3118	228	1036	0	0	0	0	0
Others_f	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderiales	4	0	0	0	2	4	2	2	0	1	1	2	1	0	0	0	0	0
Xanthomonadales	4	0	0	0	38	66	6	173	2	18	0	2	1	0	0	0	0	0
Chloroacidobacteria order RB41	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonadales	3	0	0	0	1	1	1	1	2	1	0	13250	287	0	0	0	0	0
Acidimicrobiales	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Botryosphaeriales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetivibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	3	5
Acetobacterales	0	1028	480	0	0	0	0	0	0	0	0	0	0	17	97	24	104	78
Acholeplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0
Acidaminococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	2	0	1
Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	0
Acidithiobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	3	9	10
Acidobacteriales	0	2055	802	3064	0	0	0	0	0	0	0	0	0	24	150	6	25	12
Acidothermales	0	3880	1395	3299	0	0	0	0	0	0	0	0	0	0	12	1	7	0
