Method	Domain	Family	FLU	HEX	OIL	PD5	PD6	PF7	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Control_W	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Culture	Bacteria	A714017	0	0	0				0	0	0	0	0	0						165	0	0	0	0	0
Culture	Bacteria	AEGEAN_112	0	0	1				1	0	0	0	1	0						308	0	0	0	3	0
Culture	Bacteria	Alcanivoracaceae	4965	6357	6330				1176	2415	7255	14778	4528	1185						7	0	0	0	48989	0
Culture	Bacteria	Alicyclobacillaceae	3	1	20				3	3	0	2	2	0						4	0	0	0	34	0
Culture	Bacteria	Balneolaceae	0	975	317				0	0	0	0	0	7						0	0	0	0	1299	0
Culture	Bacteria	Bradyrhizobiaceae	2	0	0				0	0	0	2	0	0						16	0	0	0	4	0
Culture	Bacteria	Burkholderiaceae	2	4	2				2	0	1	1	2	1						45	0	0	0	15	0
Culture	Bacteria	Cohaesibacteraceae	608	649	1503				9	3	0	2906	3	108						1	0	0	0	5789	0
Culture	Bacteria	Colwelliaceae	106	3	231				343	423	133	266	169	382						1	0	0	0	2056	0
Culture	Bacteria	Coxiellaceae	0	0	0				0	0	0	0	0	0						79	0	0	0	0	0
Culture	Bacteria	Cryomorphaceae	123	3093	457				204	120	173	0	0	2292						117	0	0	0	6462	0
Culture	Bacteria	Cyanobacteriaceae	0	0	0				0	0	0	0	0	0						84	0	0	0	0	0
Culture	Bacteria	Desulfobulbaceae	0	0	0				0	0	0	0	0	0						5	0	0	0	0	0
Culture	Bacteria	Ectothiorhodospiraceae	0	0	0				0	0	0	0	0	0						40	0	0	0	0	0
Culture	Bacteria	Enterobacteriaceae	2	1	19				0	0	0	3	1	1						6	0	0	0	27	0
Culture	Bacteria	Flammeovirgaceae	15	141	2				23	0	2	0	0	12						371	0	0	0	195	0
Culture	Bacteria	Flavobacteriaceae	1233	20402	12242				1097	230	3920	74	114	2063						4926	0	0	0	41375	0
Culture	Bacteria	Fusobacteriaceae	0	0	0				0	0	0	0	0	0						9	0	0	0	0	0
Culture	Bacteria	Halomonadaceae	2812	0	619				1	3	219	0	3	355						3166	0	0	0	4012	0
Culture	Bacteria	HTCC2089	0	0	0				0	0	0	1	1	0						466	0	0	0	2	0
Culture	Bacteria	HTCC2188	0	1	0				110	4	0	0	0	76						56	0	0	0	191	0
Culture	Bacteria	Hyphomicrobiaceae	5557	397	1049				479	179	360	210	225	860						2	0	0	0	9316	0
Culture	Bacteria	Marine group II	0	0	0				0	0	0	0	0	0						7	0	0	0	0	0
Culture	Bacteria	Marine group III	0	0	0				0	0	0	0	0	0						6	0	0	0	0	0
Culture	Bacteria	Marinicellaceae	38	66	6				173	2	18	0	2	1						0	0	0	0	306	0
Culture	Bacteria	Marinilabiaceae	0	0	0				0	0	0	0	0	0						7	0	0	0	0	0
Culture	Bacteria	Nannocystaceae	314	746	2175				71	0	3	0	0	319						0	0	0	0	3628	0
Culture	Bacteria	NS9	0	0	2				45	1	0	0	5	0						230	0	0	0	53	0
Culture	Bacteria	Oceanospirillaceae	5828	2669	26153				7421	28702	4454	2515	16788	15686						11	0	0	0	110216	0
Culture	Bacteria	OCS155	2	0	3				3	1	1	1	1	1						625	0	0	0	13	0
Culture	Bacteria	Oleiphilaceae	0	1472	1				1	2	2906	0	0	0						0	0	0	0	4382	0
Culture	Bacteria	OM27	0	0	0				0	0	0	0	0	0						9	0	0	0	0	0
Culture	Bacteria	OM60	0	0	1				1	13	182	0	43	0						148	0	0	0	240	0
Culture	Bacteria	Opitutaceae	128	170	445				17	4	0	0	0	8						0	0	0	0	772	0
Culture	Bacteria	Pelagibacteraceae	0	0	2				0	0	0	0	0	0						441	0	0	0	2	0
Culture	Bacteria	Phycisphaeraceae	39	0	396				45	7	0	0	15	23						0	0	0	0	525	0
Culture	Bacteria	Phyllobacteriaceae	46	168	1474				448	19	12	0	0	68						10	0	0	0	2235	0
Culture	Bacteria	Pirellulaceae	9	0	7				0	0	0	0	0	5						12	0	0	0	21	0
Culture	Bacteria	Piscirickettsiaceae	8	0	1				0	14	1	0	5	3						152	0	0	0	32	0
Culture	Bacteria	Pseudoalteromonadaceae	158	30	1118				390	548	142	136	407	1316						18	0	0	0	4245	0
Culture	Bacteria	Pseudomonadaceae	407	94	2				64	402	76	251	404	1						0	0	0	0	1701	0
Culture	Bacteria	Puniceicoccaceae	0	0	0				0	0	0	0	0	0						35	0	0	0	0	0
Culture	Bacteria	Rhabdochlamydiaceae	0	0	0				0	0	0	0	0	0						5	0	0	0	0	0
Culture	Bacteria	Rhodobacteraceae	4522	5598	10998				3185	7827	972	665	1782	2202						122732	0	0	0	37751	0
Culture	Bacteria	Rhodospirillaceae	0	0	10				5	0	1	0	12	1						174	0	0	0	29	0
Culture	Bacteria	Rhodothermaceae	1	135	890				1	0	0	0	0	870						2	0	0	0	1897	0
Culture	Bacteria	S25_1238	0	0	0				0	0	0	0	0	0						12	0	0	0	0	0
Culture	Bacteria	Shewanellaceae	17	25	140				22	31	18	8	6	38						35	0	0	0	305	0
Culture	Bacteria	Sphingomonadaceae	1	1	1				1	2	1	0	13250	287						5	0	0	0	13544	0
Culture	Bacteria	Synechococcaceae	2	0	1				13	3	0	4	2	1						4960	0	0	0	26	0
Culture	Bacteria	Thiohalorhabdaceae	0	0	0				0	0	0	0	0	0						19	0	0	0	0	0
Culture	Bacteria	Verrucomicrobiaceae	0	1	0				0	0	0	0	0	0						236	0	0	0	1	0
Culture	Bacteria	Vibrionaceae	164	22	5160				436	180	7	20	71	163						11	0	0	0	6223	0
Culture	Bacteria	wb1_P06	0	0	0				0	0	0	0	0	0						33	0	0	0	0	0
