Method	Domain	Genus	PD5	PD6	PF7	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Crude Oil	Control_S	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Environmental	Archaea	Aciduliprofundum				0	7	0	0	1			0	0	1	0	7
Environmental	Archaea	Archaeoglobus				5	3	0	3	2			0	0	5	0	8
Environmental	Archaea	Caldivirga				0	1	0	0	1			0	0	1	0	1
Environmental	Archaea	Cenarchaeum				12	23	1	0	3			0	0	4	0	35
Environmental	Archaea	Desulfurococcus				1	1	0	0	1			0	0	1	0	2
Environmental	Archaea	Ferroglobus				0	2	0	1	0			0	0	1	0	2
Environmental	Archaea	Haladaptatus				0	7	0	0	0			0	0	0	0	7
Environmental	Archaea	Halalkalicoccus				0	9	0	0	2			0	0	2	0	9
Environmental	Archaea	Haloarcula				0	5	0	0	2			0	0	2	0	5
Environmental	Archaea	Halobacterium				3	1	0	2	2			0	0	4	0	4
Environmental	Archaea	Haloferax				0	6	0	0	6			0	0	6	0	6
Environmental	Archaea	Halogeometricum				2	7	0	1	1			0	0	2	0	9
Environmental	Archaea	Halomicrobium				0	2	1	0	1			0	0	2	0	2
Environmental	Archaea	Halorubrum				3	1	0	0	0			0	0	0	0	4
Environmental	Archaea	Haloterrigena				3	2	0	0	0			0	0	0	0	5
Environmental	Archaea	Ignicoccus				0	2	0	0	0			0	0	0	0	2
Environmental	Archaea	Ignisphaera				0	0	0	0	1			0	0	1	0	0
Environmental	Archaea	Korarchaeum				1	0	0	0	0			0	0	0	0	1
Environmental	Archaea	Metallosphaera				0	0	0	1	0			0	0	1	0	0
Environmental	Archaea	Methanobrevibacter				0	3	2	1	0			0	0	3	0	3
Environmental	Archaea	Methanocaldococcus				0	8	0	3	2			0	0	5	0	8
Environmental	Archaea	Methanococcoides				1	0	0	3	1			0	0	4	0	1
Environmental	Archaea	Methanococcus				2	5	1	4	3			0	0	8	0	7
Environmental	Archaea	Methanocorpusculum				2	2	0	0	0			0	0	0	0	4
Environmental	Archaea	Methanoculleus				0	7	0	3	1			0	0	4	0	7
Environmental	Archaea	Methanohalobium				3	4	0	3	1			0	0	4	0	7
Environmental	Archaea	Methanohalophilus				2	0	0	4	0			0	0	4	0	2
Environmental	Archaea	Methanolacinia				0	0	0	2	1			0	0	3	0	0
Environmental	Archaea	Methanopyrus				0	3	0	4	0			0	0	4	0	3
Environmental	Archaea	Methanoregula				2	4	1	2	1			0	0	4	0	6
Environmental	Archaea	Methanosarcina				4	19	4	6	10			0	0	20	0	23
Environmental	Archaea	Methanosphaera				2	0	0	0	0			0	0	0	0	2
Environmental	Archaea	Methanosphaerula				0	7	0	0	0			0	0	0	0	7
Environmental	Archaea	Methanospirillum				1	9	1	2	1			0	0	4	0	10
Environmental	Archaea	Methanothermobacter				0	3	1	0	0			0	0	1	0	3
Environmental	Archaea	Methanothermus				0	2	0	3	0			0	0	3	0	2
Environmental	Archaea	Methanothrix				0	4	0	0	0			0	0	0	0	4
Environmental	Archaea	Natrialba				2	3	0	2	4			0	0	6	0	5
Environmental	Archaea	Nitrosopumilus				54	38	3	3	6			0	0	12	0	92
Environmental	Archaea	Nitrososphaera				1	0	0	0	0			0	0	0	0	1
Environmental	Archaea	Picrophilus				1	1	1	2	4			0	0	7	0	2
Environmental	Archaea	Pyrobaculum				1	11	0	0	0			0	0	0	0	12
Environmental	Archaea	Pyrococcus				0	2	0	1	2			0	0	3	0	2
Environmental	Archaea	Staphylothermus				0	1	0	1	1			0	0	2	0	1
Environmental	Archaea	Sulfolobus				5	4	2	8	1			0	0	11	0	9
Environmental	Archaea	Thermococcus				6	13	0	8	4			0	0	12	0	19
Environmental	Archaea	Thermofilum				2	0	1	0	0			0	0	1	0	2
Environmental	Archaea	Thermoplasma				0	1	0	0	0			0	0	0	0	1
Environmental	Archaea	Thermosphaera				0	2	0	0	0			0	0	0	0	2
Environmental	Archaea	unclassified (derived from Archaea)				0	3	1	11	8			0	0	20	0	3
Environmental	Archaea	unclassified (derived from Crenarchaeota)				0	1	0	0	0			0	0	0	0	1
Environmental	Archaea	unclassified (derived from Euryarchaeota)				0	1	0	6	6			0	0	12	0	1
Environmental	Archaea	unclassified (derived from Halobacteriaceae)				1	1	1	0	0			0	0	1	0	2
Environmental	Archaea	unclassified (derived from Thaumarchaeota)				27	31	0	1	3			0	0	4	0	58
Environmental	Archaea	Vulcanisaeta				0	1	0	0	0			0	0	0	0	1
Environmental	Bacteria	Acaryochloris				15	32	5	21	26			0	0	52	0	47
Environmental	Bacteria	Accumulibacter				7	23	2	8	11			0	0	21	0	30
Environmental	Bacteria	Acetivibrio				2	7	0	3	5			0	0	8	0	9
Environmental	Bacteria	Acetohalobium				0	13	0	6	3			0	0	9	0	13
Environmental	Bacteria	Acetomicrobium				0	10	0	0	5			0	0	5	0	10
Environmental	Bacteria	Acholeplasma				1	0	0	0	0			0	0	0	0	1
Environmental	Bacteria	Achromobacter				9	32	9	20	25			0	0	54	0	41
Environmental	Bacteria	Acidaminococcus				1	13	2	0	1			0	0	3	0	14
Environmental	Bacteria	Acidimicrobium				0	10	1	5	0			0	0	6	0	10
Environmental	Bacteria	Acidiphilium				4	29	11	27	20			0	0	58	0	33
Environmental	Bacteria	Acidipila	205	0	213								418	0	0	0	0
Environmental	Bacteria	Acidithiobacillus				5	7	3	9	10			0	0	22	0	12
Environmental	Bacteria	Acidobacterium				9	43	1	5	2			0	0	8	0	52
Environmental	Bacteria	Acidothermus	3880	1395	3299	0	12	1	7	0			8574	0	8	0	12
Environmental	Bacteria	Acidovorax				7	19	15	21	23			0	0	59	0	26
Environmental	Bacteria	Acinetobacter	31	0	0	7	26	113	76	60			31	0	249	0	33
Environmental	Bacteria	Actinoallomurus				0	0	0	0	1			0	0	1	0	0
Environmental	Bacteria	Actinobacillus				3	5	22	26	16			0	0	64	0	8
Environmental	Bacteria	Actinomadura				0	1	0	0	0			0	0	0	0	1
Environmental	Bacteria	Actinomyces				1	4	0	8	1			0	0	9	0	5
Environmental	Bacteria	Actinosynnema				2	25	2	0	6			0	0	8	0	27
Environmental	Bacteria	Aerococcus				0	1	1	0	0			0	0	1	0	1
Environmental	Bacteria	Aeromicrobium				0	9	0	0	7			0	0	7	0	9
Environmental	Bacteria	Aeromonas				3	16	61	52	46			0	0	159	0	19
Environmental	Bacteria	Afipia				3	7	4	11	8			0	0	23	0	10
