Method	Domain	Order	Crude Oil	FLU	HEX	OIL	PD5	PD6	PF7	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Control_W	Control_S	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Culture	Archaea	Nitrospherales	0																			6.1	0	0	0	0	0
Culture	Bacteria	Acidimicrobiales	2.9																			0	0	2.9	0	0	0
Culture	Bacteria	Acidobacteria order iii1-15	8.5																			7	0	8.5	0	0	0
Culture	Bacteria	Actinomycetales	17																			0	0	17	0	0	0
Culture	Bacteria	Alicyclobacillales		3	1	20				3	3	0	2	2	0						4		0	0	0	34	0
Culture	Bacteria	Bacteroidales		0	0	0				0	0	0	0	0	0						7		0	0	0	0	0
Culture	Bacteria	Balneolales		0	975	317				0	0	0	0	0	7						0		0	0	0	1299	0
Culture	Bacteria	Burkholderiales	4	2	4	2				2	0	1	1	2	1						45	0	0	4	0	15	0
Culture	Bacteria	Chlamydiales		0	0	0				0	0	0	0	0	0						5		0	0	0	0	0
Culture	Bacteria	Chloroacidobacteria order RB41	3.4																			0	0	3.4	0	0	0
Culture	Bacteria	Coxiellales		0	0	0				0	0	0	0	0	0						79		0	0	0	0	0
Culture	Bacteria	Cyanobacteriales		0	0	0				0	0	0	0	0	0						84		0	0	0	0	0
Culture	Bacteria	Cytophagales		15	141	2				23	0	2	0	0	12						371		0	0	0	195	0
Culture	Bacteria	Desulfobulbales		0	0	0				0	0	0	0	0	0						5		0	0	0	0	0
Culture	Bacteria	Ectothiorhodospirales		0	0	0				0	0	0	0	0	0						40		0	0	0	0	0
Culture	Bacteria	Enterobacterales		447	81	6668				1191	1182	300	433	654	1900						71		0	0	0	12856	0
Culture	Bacteria	Flavobacteriales		1356	23495	12699				1301	350	4093	74	114	4355						5043		0	0	0	47837	0
Culture	Bacteria	Fusobacteriales		0	0	0				0	0	0	0	0	0						9		0	0	0	0	0
Culture	Bacteria	Gaiellales	0																			4	0	0	0	0	0
Culture	Bacteria	Myxococcales	0																			4	0	0	0	0	0
Culture	Bacteria	Nannocystales		314	746	2175				71	0	3	0	0	319						0		0	0	0	3628	0
Culture	Bacteria	Opitutales		128	170	445				17	4	0	0	0	8						35		0	0	0	772	0
Culture	Bacteria	Others_b	50.9																			57.1	0	50.9	0	0	0
Culture	Bacteria	Pelagibacterales		0	0	2				0	0	0	0	0	0						441		0	0	0	2	0
Culture	Bacteria	Phycisphaerales		39	0	396				45	7	0	0	15	23						0		0	0	0	525	0
Culture	Bacteria	Pirellulales		9	0	7				0	0	0	0	0	5						12		0	0	0	21	0
Culture	Bacteria	Piscirickettsiales		8	0	1				0	14	1	0	5	3						152		0	0	0	32	0
Culture	Bacteria	Pseudomonadales		14012	10592	33105				8663	31524	14910	17545	21724	17227						3650		0	0	0	169302	0
Culture	Bacteria	Rhizobiales	6.4	6213	1214	4026				936	201	372	3118	228	1036						29	6.5	0	6.4	0	17344	0
Culture	Bacteria	Rhodobacterales		4522	5598	10998				3185	7827	972	665	1782	2202						122732		0	0	0	37751	0
Culture	Bacteria	Rhodospirillales		0	0	10				5	0	1	0	12	1						174		0	0	0	29	0
Culture	Bacteria	Rhodothermales		1	135	890				1	0	0	0	0	870						2		0	0	0	1897	0
Culture	Bacteria	Rubrobacterales	0																			6.3	0	0	0	0	0
Culture	Bacteria	Sphingomonadales	3	1	1	1				1	2	1	0	13250	287						5	0	0	3	0	13544	0
Culture	Bacteria	Synechococcales		2	0	1				13	3	0	4	2	1						4960		0	0	0	26	0
Culture	Bacteria	Syntrophobacterales	0																			4.2	0	0	0	0	0
Culture	Bacteria	Thiohalorhabdales		0	0	0				0	0	0	0	0	0						19		0	0	0	0	0
Culture	Bacteria	Verrucomicrobiales		0	1	0				0	0	0	0	0	0						236		0	0	0	1	0
Culture	Bacteria	Xanthomonadales	3.9	38	66	6				173	2	18	0	2	1						0	4.8	0	3.9	0	306	0
Culture	Bacteria	(en blanco)		2	1	7				160	19	183	1	50	77						1599		0	0	0	500	0
Culture	Fungi	Botryosphaeriales	1.1																			0	0	1.1	0	0	0
Culture	Fungi	Hypocreales	24																			41	0	24	0	0	0
Culture	Fungi	Mortierellales	70																			27	0	70	0	0	0
Culture	Fungi	Others_f	4.9																			24.5	0	4.9	0	0	0
Culture	Fungi	Sordariales	0																			7.5	0	0	0	0	0
Environmental	Archaea	Aciduliprofundales														0	7	0	0	1			0	0	1	0	7
Environmental	Archaea	Archaeoglobales														5	5	0	4	2			0	0	6	0	10
Environmental	Archaea	Halobacteriales														14	44	2	5	18			0	0	25	0	58
Environmental	Archaea	Korarchaeales														1	0	0	0	0			0	0	0	0	1
Environmental	Archaea	Methanobacteriales														2	8	3	4	0			0	0	7	0	10
Environmental	Archaea	Methanococcales														2	13	1	7	5			0	0	13	0	15
Environmental	Archaea	Methanomicrobiales														5	29	2	9	4			0	0	15	0	34
