Method	Domain	Phylum	Crude Oil	FLU	HEX	OIL	PD5	PD6	PF7	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Control_W	Control_S	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Culture	Archaea	Crenarchaeota	0																			6.1	0	0	0	0	0
Culture	Archaea	Euryarchaeota	0																			0	0	0	0	0	0
Culture	Archaea	Parvarchaeota	0																			0	0	0	0	0	0
Culture	Bacteria	Acidobacteriota	11.9																			7	0	11.9	0	0	0
Culture	Bacteria	Actinobacteriota	19.9	2	0	3				3	1	1	1	1	1						658	10.3	0	19.9	0	13	0
Culture	Bacteria	Armatimonadota	0																			0	0	0	0	0	0
Culture	Bacteria	Bacteroidota	0	1372	24746	13910				1370	351	4095	74	119	5244						5653	0	0	0	0	51281	0
Culture	Bacteria	Chlamydiota	0	0	0	0				0	0	0	0	0	0						5	0	0	0	0	0	0
Culture	Bacteria	Chloroflexota	0																			0	0	0	0	0	0
Culture	Bacteria	Cyanobacteria	0	2	0	1				13	3	0	4	2	1						5044	0	0	0	0	26	0
Culture	Bacteria	Desulfobacterota	0	0	0	0				0	0	0	0	0	0						5	4.2	0	0	0	0	0
Culture	Bacteria	Elusimicrobiota	0																			0	0	0	0	0	0
Culture	Bacteria	Fibrobacterota	0																			0	0	0	0	0	0
Culture	Bacteria	Firmicutes	0	3	1	20				3	3	0	2	2	0						4	0	0	0	0	34	0
Culture	Bacteria	Fusobacteriota		0	0	0				0	0	0	0	0	0						9		0	0	0	0	0
Culture	Bacteria	GAL15	0																			0	0	0	0	0	0
Culture	Bacteria	Gemmatimonadota	0																			0	0	0	0	0	0
Culture	Bacteria	Halobacteriota		0	0	0				0	0	0	0	0	0						13		0	0	0	0	0
Culture	Bacteria	Myxococcota	0	314	746	2175				71	0	3	0	0	319						0	4	0	0	0	3628	0
Culture	Bacteria	Nitrospirota	0																			0	0	0	0	0	0
Culture	Bacteria	Others_b	50.9																			57.1	0	50.9	0	0	0
Culture	Bacteria	Planctomycetota	0	48	0	403				45	7	0	0	15	28						12	0	0	0	0	546	0
Culture	Bacteria	Pseudomonadota	17.3	25243	17557	54821				14268	40769	16758	21762	37703	22734						127970	11.3	0	17.3	0	251615	0
Culture	Bacteria	SAR406		0	0	0				0	0	0	0	0	0						165		0	0	0	0	0
Culture	Bacteria	Verrucomicrobiota	0	128	171	445				17	4	0	0	0	8						271	0	0	0	0	773	0
Culture	Bacteria	WPS-2	0																			0	0	0	0	0	0
Culture	Bacteria	BHI80-139	0																			0	0	0	0	0	0
