Method	Domain	Species	PD5	PD6	PF7	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Environmental	Archaea	Aciduliprofundum boonei				0	7	0	0	1	0	0	1	0	7
Environmental	Archaea	Archaeoglobus fulgidus				5	2	0	0	0	0	0	0	0	7
Environmental	Archaea	Archaeoglobus profundus				0	1	0	3	2	0	0	5	0	1
Environmental	Archaea	Caldivirga maquilingensis				0	1	0	0	1	0	0	1	0	1
Environmental	Archaea	Candidatus Korarchaeum cryptofilum				1	0	0	0	0	0	0	0	0	1
Environmental	Archaea	Candidatus Nitrososphaera gargensis				1	0	0	0	0	0	0	0	0	1
Environmental	Archaea	Cenarchaeum symbiosum				12	23	1	0	3	0	0	4	0	35
Environmental	Archaea	Desulfurococcus amylolyticus				1	0	0	0	0	0	0	0	0	1
Environmental	Archaea	Desulfurococcus mucosus				0	1	0	0	1	0	0	1	0	1
Environmental	Archaea	Ferroglobus placidus				0	2	0	1	0	0	0	1	0	2
Environmental	Archaea	Haladaptatus paucihalophilus				0	7	0	0	0	0	0	0	0	7
Environmental	Archaea	Halalkalicoccus jeotgali				0	9	0	0	2	0	0	2	0	9
Environmental	Archaea	Haloarcula marismortui				0	5	0	0	2	0	0	2	0	5
Environmental	Archaea	Halobacterium salinarum				3	1	0	2	2	0	0	4	0	4
Environmental	Archaea	Haloferax volcanii				0	6	0	0	6	0	0	6	0	6
Environmental	Archaea	Halogeometricum borinquense				2	7	0	1	1	0	0	2	0	9
Environmental	Archaea	Halomicrobium mukohataei				0	2	1	0	1	0	0	2	0	2
Environmental	Archaea	Halorubrum lacusprofundi				3	1	0	0	0	0	0	0	0	4
Environmental	Archaea	Haloterrigena turkmenica				3	2	0	0	0	0	0	0	0	5
Environmental	Archaea	Ignicoccus hospitalis				0	2	0	0	0	0	0	0	0	2
Environmental	Archaea	Ignisphaera aggregans				0	0	0	0	1	0	0	1	0	0
Environmental	Archaea	Metallosphaera sedula				0	0	0	1	0	0	0	1	0	0
Environmental	Archaea	Methanobrevibacter ruminantium				0	3	1	1	0	0	0	2	0	3
Environmental	Archaea	Methanobrevibacter smithii				0	0	1	0	0	0	0	1	0	0
Environmental	Archaea	Methanocaldococcus fervens				0	1	0	2	0	0	0	2	0	1
Environmental	Archaea	Methanocaldococcus jannaschii				0	5	0	0	2	0	0	2	0	5
Environmental	Archaea	Methanocaldococcus sp. FS406-22				0	0	0	1	0	0	0	1	0	0
Environmental	Archaea	Methanocaldococcus vulcanius				0	2	0	0	0	0	0	0	0	2
Environmental	Archaea	Methanococcoides burtonii				1	0	0	3	1	0	0	4	0	1
Environmental	Archaea	Methanococcus aeolicus				2	1	0	2	3	0	0	5	0	3
Environmental	Archaea	Methanococcus maripaludis				0	1	1	1	0	0	0	2	0	1
Environmental	Archaea	Methanococcus vannielii				0	3	0	0	0	0	0	0	0	3
