Domain	Phylum	Class	Order	Family	Genus	Species	Crude Oil	PD5	PD6	PF7	FLU	HEX	OIL	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	NOR_Island_W	PRI_Island_W	SAN_Island_W	FAR_Island_C	NOR_Island_C
Archaea						uncultured archaeon GZfos26D6																		1
Archaea						uncultured archaeon GZfos34G5																		1
Archaea						uncultured archaeon GZfos9D1															1			1
Archaea						uncultured archaeon MedDCM-OCT-S04-C14															2	1		
Archaea						uncultured archaeon MedDCM-OCT-S04-C140															1	1		
Archaea						uncultured archaeon MedDCM-OCT-S04-C163															1	1		
Archaea						uncultured archaeon MedDCM-OCT-S04-C246															1	1		
Archaea						uncultured archaeon MedDCM-OCT-S05-C10																1		
Archaea						uncultured archaeon MedDCM-OCT-S08-C282																1		
Archaea						uncultured archaeon MedDCM-OCT-S08-C37														1	1			
Archaea						uncultured archaeon MedDCM-OCT-S09-C50															3			
Archaea						uncultured archaeon MedDCM-OCT-S11-C441															1	1		
Archaea						uncultured archaeon MedDCM-OCT-S11-C473																1		
Archaea	Halobacteriota					uncultured marine group II euryarchaeote 37F11																2		
Archaea	Halobacteriota					uncultured marine group II euryarchaeote DeepAnt-15E7																2		
Archaea	Halobacteriota					uncultured marine group II euryarchaeote EF100_57A08															2			
Archaea	Halobacteriota					uncultured marine group II euryarchaeote KM3-130-D10																1		
Archaea	Halobacteriota					uncultured marine group II euryarchaeote KM3-85-F5															1	1		
Archaea	Halobacteriota					uncultured marine group III euryarchaeote KM3-28-E8															1			1
Archaea	Halobacteriota					uncultured marine group III euryarchaeote SAT1000-53-B3															2			
Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus																	5	2
Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus															3	2		1
Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus															1			2
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus	Haladaptatus paucihalophilus																		7
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halalkalicoccaceae	Halalkalicoccus	Halalkalicoccus jeotgali																2		9
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula marismortui																2		5
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei														1		1		2
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae		uncultured haloarchaeon																	1	1
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae		uncultured haloarchaeon FLAS10H9														1				
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum															2	2	3	1
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	Haloferax volcanii																6		6
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense															1	1	2	7
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum lacusprofundi																	3	1
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Haloterrigena	Haloterrigena turkmenica																	3	2
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrialba	Natrialba magadii															2	4	2	3
Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum labreanum																	2	2
Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus marisnigri															3	1		7
Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia															2	1		
Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula boonei														1	2	1	2	4
Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanosphaerulaceae	Methanosphaerula	Methanosphaerula palustris																		7
Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum hungatei														1	2	1	1	9
Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides burtonii															3	1	1	
Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	Methanohalobium evestigatum															3	1	3	4
Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus mahii															4		2	
Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans														1	2	5	1	10
Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri																5		6
Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei														3	4		3	3
Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanosaeta harundinacea																		1
Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix thermoacetophila																		3
Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter ruminantium														1	1			3
Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii														1				
Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae																	2	
Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus															3			2
Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteraceae	Methanothermobacter	Methanothermobacter marburgensis														1				
Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteraceae	Methanothermobacter	Methanothermobacter thermautotrophicus																		3
Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus fervens															2			1
Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii																2		5
Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus sp. FS406-22															1			
Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus vulcanius																		2
Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus aeolicus															2	3	2	1
Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis														1	1			1
Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii																		3
Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae															1			
Archaea	Methanobacteriota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri															4			3
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus															1	2		2
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus															3	1	2	5
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gammatolerans															4			2
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus																2	2	1
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sibiricus															1	1		3
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. AM4																	2	2
Archaea	Thermoplasmatota	Thermoplasmata						37		42														
